tourist_id,n_visits,n_unique_clusters,n_restricted_visits,restricted_ratio,avg_dwell_minutes,total_distance_km,avg_distance_per_hop_km,revisit_ratio,is_suspicious_ground_truth,is_flagged_suspicious,anomaly_score
T00354,11,4,0,0.0,54.8,100.0,9.09,0.091,False,False,0.0981
T00355,15,5,2,0.133,55.3,159.09,10.61,0.067,True,True,-0.1089
T00356,15,3,0,0.0,49.9,129.62,8.64,0.133,False,False,0.1098
T00357,15,3,0,0.0,49.2,129.51,8.63,0.333,False,False,0.0641
T00358,13,3,0,0.0,54.1,145.39,11.18,0.0,False,False,0.0973
T00359,16,4,0,0.0,57.1,185.65,11.6,0.125,False,False,0.1057
T00360,13,3,0,0.0,55.6,152.96,11.77,0.077,False,False,0.1176
T00361,12,3,0,0.0,57.2,168.63,14.05,0.083,False,False,0.0808
T00362,14,4,0,0.0,54.2,155.21,11.09,0.143,False,False,0.1301
T00363,12,4,0,0.0,57.1,149.25,12.44,0.167,False,False,0.1202
T00364,17,3,0,0.0,50.6,167.41,9.85,0.176,False,False,0.0745
T00365,15,4,0,0.0,58.9,183.11,12.21,0.133,False,False,0.1148
T00366,13,4,0,0.0,51.2,127.34,9.8,0.0,False,False,0.0972
T00367,11,3,0,0.0,52.8,109.54,9.96,0.091,False,False,0.1052
T00368,13,4,0,0.0,64.5,163.34,12.56,0.077,False,False,0.0927
T00369,14,3,0,0.0,62.5,150.38,10.74,0.143,False,False,0.1208
T00370,13,4,0,0.0,64.8,158.48,12.19,0.0,False,False,0.058
T00371,12,3,0,0.0,57.4,140.88,11.74,0.083,False,False,0.1173
T00372,16,5,0,0.0,53.6,203.65,12.73,0.062,False,False,0.0393
T00373,13,2,0,0.0,70.0,150.9,11.61,0.154,False,False,0.0049
T00374,15,5,0,0.0,53.4,188.72,12.58,0.0,False,False,0.0368
T00375,13,3,0,0.0,48.9,155.87,11.99,0.154,False,False,0.1103
T00376,12,3,0,0.0,60.5,94.59,7.88,0.083,False,False,0.0942
T00377,16,4,0,0.0,58.2,171.13,10.7,0.25,False,False,0.1023
T00378,14,5,0,0.0,52.1,144.79,10.34,0.143,False,False,0.0841
T00379,16,4,0,0.0,52.5,124.95,7.81,0.062,False,False,0.0731
T00380,13,4,0,0.0,56.7,161.69,12.44,0.077,False,False,0.1223
T00381,17,4,0,0.0,60.9,233.24,13.72,0.059,False,True,-0.0044
T00382,12,4,0,0.0,62.2,110.81,9.23,0.167,False,False,0.0955
T00383,16,4,0,0.0,59.4,148.72,9.29,0.125,False,False,0.1072
T00384,13,3,0,0.0,62.1,131.03,10.08,0.231,False,False,0.1197
T00385,14,4,0,0.0,63.0,164.83,11.77,0.0,False,False,0.0823
T00386,13,4,4,0.308,57.6,216.8,16.68,0.231,True,True,-0.2223
T00387,15,4,0,0.0,49.7,168.91,11.26,0.133,False,False,0.1093
T00388,15,3,0,0.0,55.7,141.38,9.43,0.267,False,False,0.1114
T00389,16,4,0,0.0,57.1,216.35,13.52,0.062,False,False,0.0607
T00390,15,4,0,0.0,56.0,156.18,10.41,0.133,False,False,0.127
T00391,13,4,0,0.0,52.2,169.3,13.02,0.0,False,False,0.0886
T00392,13,3,0,0.0,59.6,116.21,8.94,0.154,False,False,0.127
T00393,16,3,0,0.0,49.8,182.65,11.42,0.25,False,False,0.0726
T00394,15,5,0,0.0,58.5,199.73,13.32,0.133,False,False,0.0548
T00395,17,4,0,0.0,54.8,155.42,9.14,0.118,False,False,0.0908
T00396,13,4,0,0.0,53.0,148.74,11.44,0.154,False,False,0.1318
T00397,16,4,0,0.0,57.1,139.06,8.69,0.188,False,False,0.1108
T00398,14,3,0,0.0,56.0,89.92,6.42,0.0,False,False,0.0361
T00399,11,2,0,0.0,53.4,116.54,10.59,0.091,False,False,0.0622
T00400,14,4,0,0.0,47.7,109.26,7.8,0.143,False,False,0.0874
T00401,14,3,0,0.0,59.1,144.58,10.33,0.143,False,False,0.1338
T00402,14,2,0,0.0,69.8,114.39,8.17,0.143,False,True,-0.0042
T00403,13,5,0,0.0,52.5,157.16,12.09,0.077,False,False,0.0809
T00404,15,4,0,0.0,52.3,187.63,12.51,0.2,False,False,0.1135
T00405,12,4,0,0.0,46.8,123.3,10.28,0.167,False,False,0.1036
T00406,14,5,0,0.0,51.9,194.99,13.93,0.214,False,False,0.0529
T00407,15,5,0,0.0,49.4,178.97,11.93,0.067,False,False,0.0568
T00408,11,3,0,0.0,41.2,83.39,7.58,0.091,False,False,0.0043
T00409,14,3,0,0.0,52.7,134.59,9.61,0.286,False,False,0.1078
T00410,13,4,0,0.0,51.9,120.99,9.31,0.231,False,False,0.1154
T00411,15,3,0,0.0,51.5,113.79,7.59,0.067,False,False,0.0865
T00412,12,4,0,0.0,55.1,77.08,6.42,0.0,False,False,0.001
T00413,14,4,0,0.0,59.2,150.24,10.73,0.143,False,False,0.1323
T00414,11,4,0,0.0,57.2,121.62,11.06,0.0,False,False,0.0803
T00415,12,2,0,0.0,46.9,125.61,10.47,0.417,False,True,-0.0357
T00416,14,4,0,0.0,49.4,182.73,13.05,0.071,False,False,0.0927
T00417,11,4,0,0.0,60.2,115.82,10.53,0.0,False,False,0.074
T00418,13,4,0,0.0,49.8,89.31,6.87,0.308,False,False,0.0219
T00419,17,4,0,0.0,55.1,229.1,13.48,0.353,False,True,-0.0315
T00420,14,5,0,0.0,51.2,209.77,14.98,0.214,False,False,0.006
T00421,12,2,0,0.0,58.9,121.71,10.14,0.083,False,False,0.0644
T00422,10,4,0,0.0,58.7,113.46,11.35,0.1,False,False,0.0764
T00423,16,4,0,0.0,64.9,168.41,10.53,0.25,False,False,0.0673
T00424,10,4,0,0.0,59.1,126.16,12.62,0.1,False,False,0.0728
T00425,16,4,0,0.0,56.2,187.61,11.73,0.188,False,False,0.1086
T00426,12,2,0,0.0,59.6,160.66,13.39,0.083,False,False,0.0428
T00427,11,3,0,0.0,69.6,98.36,8.94,0.0,False,True,-0.0007
T00428,11,4,0,0.0,56.3,162.65,14.79,0.091,False,False,0.0605
T00429,13,2,0,0.0,51.8,101.51,7.81,0.231,False,False,0.0549
T00430,14,2,0,0.0,51.3,87.4,6.24,0.143,False,False,0.0217
T00431,11,2,0,0.0,56.9,120.6,10.96,0.0,False,False,0.0291
T00432,17,4,0,0.0,53.1,176.8,10.4,0.235,False,False,0.0838
T00433,13,4,0,0.0,56.7,126.88,9.76,0.154,False,False,0.134
T00434,13,3,0,0.0,63.2,135.76,10.44,0.0,False,False,0.087
T00435,14,4,0,0.0,58.8,111.89,7.99,0.286,False,False,0.0872
T00436,14,4,0,0.0,49.6,131.67,9.4,0.214,False,False,0.1154
T00437,14,3,0,0.0,58.3,134.61,9.62,0.143,False,False,0.131
T00438,16,4,0,0.0,51.1,130.54,8.16,0.25,False,False,0.0868
T00439,13,2,0,0.0,54.7,106.89,8.22,0.231,False,False,0.0728
T00440,10,4,0,0.0,48.6,94.19,9.42,0.0,False,False,0.0212
T00441,13,4,0,0.0,55.3,142.05,10.93,0.077,False,False,0.1325
T00442,16,4,0,0.0,60.6,168.46,10.53,0.25,False,False,0.0982
T00443,13,3,0,0.0,54.6,133.1,10.24,0.154,False,False,0.1395
T00444,17,4,0,0.0,62.0,192.99,11.35,0.176,False,False,0.0773
T00445,12,3,0,0.0,46.6,108.94,9.08,0.25,False,False,0.0818
T00446,14,4,0,0.0,68.6,137.38,9.81,0.071,False,False,0.0649
T00447,15,5,0,0.0,55.8,177.61,11.84,0.067,True,False,0.0758
T00448,13,4,0,0.0,48.0,118.51,9.12,0.231,False,False,0.1017
T00449,12,3,0,0.0,54.0,95.42,7.95,0.167,False,False,0.1061
T00450,13,3,0,0.0,55.4,130.07,10.01,0.231,False,False,0.1313
T00451,14,4,0,0.0,56.3,129.06,9.22,0.0,False,False,0.1016
T00452,14,3,0,0.0,60.9,178.12,12.72,0.143,False,False,0.1016
T00453,14,4,1,0.071,50.1,181.18,12.94,0.071,True,True,-0.0524
T00454,14,2,0,0.0,52.4,108.94,7.78,0.214,False,False,0.0646
T00455,11,3,0,0.0,50.1,88.11,8.01,0.091,False,False,0.0704
T00456,13,4,0,0.0,63.4,137.34,10.56,0.077,False,False,0.1146
T00457,15,6,0,0.0,50.7,215.68,14.38,0.133,False,True,-0.0323
T00458,13,5,2,0.154,57.9,210.73,16.21,0.154,True,True,-0.1533
T00459,13,2,0,0.0,53.9,116.1,8.93,0.462,False,True,-0.0102
T00460,14,4,0,0.0,54.8,102.34,7.31,0.0,False,False,0.0494
T00461,12,4,0,0.0,48.1,148.69,12.39,0.25,False,False,0.0844
T00462,13,2,0,0.0,52.4,161.66,12.44,0.077,False,False,0.0522
T00463,12,3,0,0.0,61.1,133.91,11.16,0.083,False,False,0.1131
T00464,13,3,1,0.077,60.5,133.44,10.26,0.308,True,True,-0.0565
T00465,12,4,2,0.167,53.6,123.51,10.29,0.333,True,True,-0.1252
T00466,11,4,0,0.0,56.5,104.2,9.47,0.182,False,False,0.0954
T00467,12,4,2,0.167,46.5,139.98,11.66,0.083,True,True,-0.1327
T00468,11,2,0,0.0,50.3,81.74,7.43,0.273,False,False,0.0053
T00469,14,5,0,0.0,58.5,136.34,9.74,0.071,False,False,0.0685
T00470,11,3,0,0.0,63.5,129.98,11.82,0.182,False,False,0.0867
T00471,13,2,0,0.0,44.5,91.94,7.07,0.154,False,False,0.0023
T00472,12,3,0,0.0,59.8,138.13,11.51,0.083,False,False,0.1111
T00473,15,4,0,0.0,51.1,186.83,12.46,0.133,False,False,0.1078
T00474,10,4,0,0.0,55.3,126.56,12.66,0.1,False,False,0.0773
T00475,13,4,0,0.0,54.5,154.54,11.89,0.231,False,False,0.1198
T00476,12,4,0,0.0,51.9,153.57,12.8,0.167,False,False,0.1119
T00477,12,4,0,0.0,53.5,131.75,10.98,0.0,False,False,0.0984
T00478,14,3,0,0.0,52.8,155.06,11.08,0.143,False,False,0.125
T00479,9,3,0,0.0,54.7,49.73,5.53,0.333,False,True,-0.0914
T00480,13,3,0,0.0,54.9,128.65,9.9,0.154,False,False,0.1383
T00481,16,3,0,0.0,44.4,155.36,9.71,0.188,False,False,0.0589
T00482,15,3,0,0.0,56.1,129.11,8.61,0.2,False,False,0.1252
T00483,15,4,0,0.0,50.9,193.46,12.9,0.2,False,False,0.1047
T00484,15,4,0,0.0,49.5,119.26,7.95,0.067,False,False,0.0863
T00485,12,4,0,0.0,57.8,166.11,13.84,0.083,False,False,0.0962
T00486,15,4,0,0.0,55.5,205.82,13.72,0.267,False,False,0.0635
T00487,9,4,0,0.0,52.1,130.22,14.47,0.111,False,False,0.0145
T00488,17,3,0,0.0,58.3,221.85,13.05,0.235,False,False,0.0146
T00489,12,3,0,0.0,56.0,76.61,6.38,0.0,False,False,0.0203
T00490,13,3,0,0.0,54.0,130.44,10.03,0.077,False,False,0.1301
T00491,15,3,0,0.0,58.8,147.3,9.82,0.2,False,False,0.1255
T00492,18,4,0,0.0,53.0,218.19,12.12,0.167,False,False,0.027
T00493,11,3,0,0.0,60.7,97.59,8.87,0.273,False,False,0.0735
T00494,14,4,0,0.0,52.1,220.13,15.72,0.143,False,False,0.0186
T00495,18,4,0,0.0,54.8,213.7,11.87,0.111,False,False,0.0327
T00496,12,3,0,0.0,58.4,109.68,9.14,0.083,False,False,0.1136
T00497,16,2,0,0.0,52.5,136.04,8.5,0.25,False,False,0.0444
T00498,16,5,0,0.0,54.8,197.76,12.36,0.188,False,False,0.0552
T00499,12,3,0,0.0,55.1,145.61,12.13,0.167,False,False,0.1184
T00500,15,3,0,0.0,59.4,106.91,7.13,0.2,False,False,0.0868
T00501,13,3,0,0.0,45.6,159.69,12.28,0.0,False,False,0.0443
T00502,16,4,0,0.0,55.2,176.59,11.04,0.125,False,False,0.111
T00503,12,2,0,0.0,48.2,132.98,11.08,0.167,False,False,0.0512
T00504,15,4,0,0.0,57.1,131.29,8.75,0.267,False,False,0.1083
T00505,12,4,0,0.0,58.1,108.23,9.02,0.167,False,False,0.1097
T00506,17,4,0,0.0,54.2,190.38,11.2,0.118,False,False,0.0859
T00507,13,3,0,0.0,60.5,110.8,8.52,0.231,False,False,0.1132
T00508,10,4,0,0.0,54.7,90.82,9.08,0.0,False,False,0.036
T00509,11,2,0,0.0,49.5,94.65,8.6,0.182,False,False,0.042
T00510,14,4,0,0.0,50.8,148.72,10.62,0.214,False,False,0.1237
T00511,15,4,0,0.0,47.7,148.4,9.89,0.067,False,False,0.0991
T00512,14,3,0,0.0,46.5,111.06,7.93,0.143,False,False,0.0871
T00513,14,5,0,0.0,52.6,148.4,10.6,0.143,False,False,0.0858
T00514,14,4,0,0.0,52.6,126.15,9.01,0.071,False,False,0.1208
T00515,16,5,0,0.0,58.6,189.96,11.87,0.125,False,False,0.0581
T00516,15,4,2,0.133,59.0,167.61,11.17,0.267,True,True,-0.0962
T00517,16,3,0,0.0,63.4,179.46,11.22,0.188,False,False,0.0769
T00518,13,5,0,0.0,57.1,118.28,9.1,0.154,False,False,0.0684
T00519,17,6,0,0.0,58.1,240.38,14.14,0.059,False,True,-0.0889
T00520,12,3,0,0.0,60.3,151.38,12.62,0.25,False,False,0.0916
T00521,10,3,0,0.0,68.4,97.62,9.76,0.1,False,False,0.0174
T00522,13,4,0,0.0,58.8,145.59,11.2,0.154,False,False,0.1328
T00523,14,3,0,0.0,46.3,115.33,8.24,0.214,False,False,0.0865
T00524,14,4,0,0.0,56.0,161.83,11.56,0.214,True,False,0.1256
T00525,13,4,0,0.0,64.7,140.56,10.81,0.308,False,False,0.0624
T00526,14,5,0,0.0,51.2,195.49,13.96,0.143,False,False,0.0595
T00527,12,3,0,0.0,53.3,104.34,8.7,0.333,False,False,0.0702
T00528,15,5,0,0.0,50.5,201.75,13.45,0.067,False,False,0.0408
T00529,17,5,1,0.059,58.9,160.67,9.45,0.118,True,True,-0.0899
T00530,12,3,0,0.0,57.2,127.85,10.65,0.083,False,False,0.1229
T00531,14,4,2,0.143,57.3,173.62,12.4,0.0,True,True,-0.1038
T00532,17,3,0,0.0,51.6,175.13,10.3,0.235,False,False,0.069
T00533,13,4,0,0.0,64.8,108.31,8.33,0.077,False,False,0.0834
T00534,14,4,0,0.0,56.5,214.34,15.31,0.143,False,False,0.0361
T00535,12,2,0,0.0,51.5,110.68,9.22,0.333,False,False,0.0203
T00536,11,4,2,0.182,55.9,85.46,7.77,0.091,True,True,-0.1364
T00537,12,3,0,0.0,49.7,126.81,10.57,0.083,False,False,0.1096
T00538,16,4,0,0.0,53.3,153.08,9.57,0.062,False,False,0.0945
T00539,15,6,0,0.0,58.3,237.52,15.83,0.133,False,True,-0.0911
T00540,13,3,0,0.0,52.2,121.9,9.38,0.154,False,False,0.1283
T00541,11,2,0,0.0,51.1,78.77,7.16,0.091,False,False,0.0095
T00542,13,3,0,0.0,62.7,127.78,9.83,0.231,False,False,0.1165
T00543,12,3,0,0.0,46.6,136.81,11.4,0.333,False,False,0.0387
T00544,15,5,0,0.0,61.7,162.23,10.82,0.067,False,False,0.0652
T00545,16,4,0,0.0,62.1,154.9,9.68,0.25,False,False,0.0883
T00546,13,3,0,0.0,54.3,148.35,11.41,0.0,False,False,0.0959
T00547,13,4,0,0.0,50.8,147.59,11.35,0.077,False,False,0.118
T00548,14,5,0,0.0,53.9,147.39,10.53,0.071,False,False,0.0835
T00549,10,3,0,0.0,51.2,119.09,11.91,0.1,False,False,0.0762
T00550,17,4,0,0.0,60.0,199.21,11.72,0.176,False,False,0.0749
T00551,12,3,0,0.0,50.8,159.25,13.27,0.083,False,False,0.0915
T00552,17,3,0,0.0,47.8,127.25,7.49,0.235,False,False,0.0448
T00553,10,4,0,0.0,51.2,121.11,12.11,0.0,False,False,0.0508
T00554,9,3,0,0.0,78.2,110.79,12.31,0.222,False,True,-0.0482
T00555,16,5,0,0.0,51.2,199.06,12.44,0.25,False,False,0.0353
T00556,12,4,0,0.0,47.1,116.7,9.72,0.083,False,False,0.0946
T00557,13,3,0,0.0,42.9,120.55,9.27,0.077,False,False,0.0683
T00558,11,4,0,0.0,51.5,103.37,9.4,0.091,False,False,0.093
T00559,16,4,0,0.0,50.1,161.15,10.07,0.25,False,False,0.0957
T00560,12,4,0,0.0,59.1,122.78,10.23,0.083,False,False,0.1185
T00561,14,4,0,0.0,54.4,212.73,15.19,0.143,False,False,0.0451
T00562,16,4,0,0.0,59.7,163.39,10.21,0.25,False,False,0.1021
T00563,15,3,0,0.0,52.4,135.23,9.02,0.267,False,False,0.1092
T00564,11,3,0,0.0,61.0,158.26,14.39,0.273,True,False,0.0274
T00565,15,3,0,0.0,50.5,149.06,9.94,0.133,True,False,0.1193
T00566,15,3,1,0.067,45.1,137.41,9.16,0.2,True,True,-0.0594
T00567,15,3,0,0.0,52.1,118.75,7.92,0.333,False,False,0.0645
T00568,16,4,0,0.0,55.6,180.16,11.26,0.125,False,False,0.1095
T00569,13,5,0,0.0,53.9,153.01,11.77,0.154,False,False,0.0845
T00570,11,3,0,0.0,56.5,112.85,10.26,0.0,False,False,0.0825
T00571,15,3,0,0.0,51.8,150.8,10.05,0.333,False,False,0.0739
T00572,13,3,0,0.0,59.5,142.81,10.99,0.231,False,False,0.1234
T00573,12,4,0,0.0,54.6,122.4,10.2,0.167,False,False,0.1251
T00574,17,3,0,0.0,52.0,128.67,7.57,0.294,False,False,0.0458
T00575,11,3,0,0.0,58.6,93.78,8.53,0.091,False,False,0.0947
T00576,13,5,0,0.0,59.6,179.73,13.83,0.231,False,False,0.0508
T00577,12,4,0,0.0,58.2,94.36,7.86,0.25,True,False,0.0796
T00578,16,3,0,0.0,52.9,170.23,10.64,0.312,False,False,0.063
T00579,14,4,0,0.0,54.7,152.63,10.9,0.214,False,False,0.1271
T00580,15,4,0,0.0,55.7,130.7,8.71,0.0,True,False,0.0909
T00581,13,3,0,0.0,47.8,120.46,9.27,0.154,False,False,0.1142
T00582,14,3,0,0.0,48.3,102.01,7.29,0.286,False,False,0.0637
T00583,16,4,0,0.0,62.2,178.96,11.19,0.188,False,False,0.098
T00584,17,4,0,0.0,47.9,212.17,12.48,0.059,False,False,0.0184
T00585,15,5,0,0.0,49.0,159.53,10.64,0.267,False,False,0.0545
T00586,12,2,0,0.0,59.0,85.36,7.11,0.167,False,False,0.0416
T00587,13,2,0,0.0,52.3,100.78,7.75,0.154,False,False,0.0694
T00588,14,4,0,0.0,51.5,155.09,11.08,0.214,False,False,0.1216
T00589,13,3,0,0.0,54.6,149.27,11.48,0.231,False,False,0.122
T00590,15,4,0,0.0,59.7,170.2,11.35,0.133,False,False,0.1177
T00591,9,4,1,0.111,57.0,117.74,13.08,0.222,True,True,-0.106
T00592,13,4,1,0.077,53.9,167.77,12.91,0.154,True,True,-0.0394
T00593,15,2,0,0.0,65.0,119.96,8.0,0.267,False,False,0.0073
T00594,13,4,0,0.0,51.9,137.41,10.57,0.0,False,False,0.1043
T00595,15,3,0,0.0,64.4,152.23,10.15,0.133,False,False,0.0966
T00596,16,3,0,0.0,57.4,155.26,9.7,0.188,False,False,0.1074
T00597,13,4,0,0.0,58.1,173.55,13.35,0.0,False,False,0.0825
T00598,11,3,0,0.0,52.1,169.16,15.38,0.364,False,True,-0.0355
T00599,11,4,0,0.0,61.4,120.42,10.95,0.091,False,False,0.0994
T00600,14,3,0,0.0,47.8,147.12,10.51,0.143,False,False,0.1139
T00601,16,3,0,0.0,49.7,185.96,11.62,0.25,False,False,0.0697
T00602,16,6,0,0.0,51.9,215.25,13.45,0.062,False,True,-0.0315
T00603,16,4,0,0.0,48.4,137.67,8.6,0.25,False,False,0.0846
T00604,13,3,0,0.0,57.6,136.07,10.47,0.308,False,False,0.1013
T00605,12,2,0,0.0,54.1,79.75,6.65,0.25,False,False,0.0179
T00606,15,4,0,0.0,54.1,148.74,9.92,0.133,False,False,0.128
T00607,13,5,0,0.0,57.8,177.26,13.64,0.0,False,False,0.0353
T00608,12,3,0,0.0,58.5,97.4,8.12,0.083,False,False,0.1043
T00609,13,4,0,0.0,55.8,185.53,14.27,0.231,False,False,0.0835
T00610,14,4,0,0.0,51.6,131.15,9.37,0.214,False,False,0.1214
T00611,15,5,4,0.267,61.4,144.37,9.62,0.267,True,True,-0.2002
T00612,14,3,0,0.0,57.0,83.74,5.98,0.286,False,False,0.036
T00613,14,4,0,0.0,60.1,182.44,13.03,0.214,False,False,0.1097
T00614,12,4,0,0.0,61.2,130.59,10.88,0.167,False,False,0.1181
T00615,13,5,0,0.0,63.1,159.11,12.24,0.077,False,False,0.059
T00616,9,3,0,0.0,47.8,93.4,10.38,0.0,False,True,-0.0017
T00617,11,3,0,0.0,47.9,124.59,11.33,0.273,False,False,0.0707
T00618,14,4,0,0.0,50.2,114.6,8.19,0.071,False,False,0.0993
T00619,14,4,0,0.0,49.8,139.37,9.96,0.214,False,False,0.1221
T00620,9,3,0,0.0,52.8,82.06,9.12,0.222,False,False,0.0175
T00621,11,2,0,0.0,42.7,89.71,8.16,0.182,False,True,-0.0084
T00622,11,3,0,0.0,49.3,104.68,9.52,0.0,False,False,0.0619
T00623,14,4,0,0.0,55.9,152.85,10.92,0.143,False,False,0.1328
T00624,13,3,0,0.0,52.2,165.86,12.76,0.077,False,False,0.1073
T00625,17,4,0,0.0,41.5,137.2,8.07,0.294,False,True,-0.0042
T00626,13,4,0,0.0,55.9,158.89,12.22,0.077,False,False,0.1229
T00627,10,3,0,0.0,45.3,129.64,12.96,0.2,False,False,0.0332
T00628,15,4,0,0.0,60.2,140.84,9.39,0.067,False,False,0.1143
T00629,11,3,0,0.0,52.2,102.72,9.34,0.091,False,False,0.1012
T00630,13,2,0,0.0,45.8,85.96,6.61,0.385,False,True,-0.0671
T00631,15,5,1,0.067,47.3,197.4,13.16,0.067,True,True,-0.0885
T00632,16,5,0,0.0,51.1,199.04,12.44,0.062,False,False,0.0393
T00633,15,3,0,0.0,55.3,181.17,12.08,0.2,False,False,0.1053
T00634,12,5,0,0.0,54.3,180.02,15.0,0.167,False,False,0.0258
T00635,13,4,0,0.0,49.0,76.44,5.88,0.077,False,False,0.0052
T00636,9,5,0,0.0,61.3,148.87,16.54,0.111,False,True,-0.0789
T00637,11,3,0,0.0,49.9,89.03,8.09,0.0,False,False,0.0406
T00638,12,4,0,0.0,58.6,149.59,12.47,0.083,False,False,0.115
T00639,15,4,0,0.0,63.7,151.47,10.1,0.133,False,False,0.1124
T00640,9,3,0,0.0,59.0,87.25,9.69,0.111,False,False,0.0304
T00641,9,3,0,0.0,39.3,88.03,9.78,0.111,False,True,-0.0311
T00642,16,5,0,0.0,52.9,165.18,10.32,0.062,False,False,0.0576
T00643,12,3,0,0.0,63.8,98.9,8.24,0.0,False,False,0.0574
T00644,13,3,0,0.0,58.7,95.95,7.38,0.154,False,False,0.1025
T00645,15,5,0,0.0,55.1,212.25,14.15,0.0,False,False,0.0
T00646,18,4,0,0.0,58.2,170.33,9.46,0.167,False,False,0.05
T00647,15,3,0,0.0,59.0,174.75,11.65,0.067,False,False,0.0984
T00648,12,3,0,0.0,46.0,90.11,7.51,0.083,False,False,0.0412
T00649,11,4,0,0.0,50.1,100.47,9.13,0.182,False,False,0.0838
T00650,17,4,0,0.0,58.8,198.58,11.68,0.059,False,False,0.0573
T00651,13,3,0,0.0,50.2,140.71,10.82,0.231,True,False,0.1207
T00652,14,3,0,0.0,45.1,93.0,6.64,0.071,False,False,0.0253
T00653,12,4,0,0.0,54.0,134.16,11.18,0.0,False,False,0.0967
T00654,16,4,0,0.0,55.2,132.22,8.26,0.188,False,False,0.105
T00655,12,3,0,0.0,53.3,93.53,7.79,0.25,True,False,0.091
T00656,15,4,0,0.0,54.9,228.55,15.24,0.133,False,False,0.0149
T00657,12,3,0,0.0,65.1,140.98,11.75,0.0,False,False,0.0529
T00658,13,4,0,0.0,50.9,123.74,9.52,0.077,False,False,0.1151
T00659,13,3,0,0.0,49.9,147.05,11.31,0.308,False,False,0.0793
T00660,13,4,0,0.0,56.5,145.01,11.15,0.0,False,False,0.1059
T00661,12,3,0,0.0,51.7,121.51,10.13,0.083,True,False,0.118
T00662,15,3,0,0.0,50.0,120.71,8.05,0.2,False,False,0.0999
T00663,16,4,0,0.0,52.4,194.57,12.16,0.312,False,False,0.0625
T00664,15,4,0,0.0,57.7,109.73,7.32,0.333,False,False,0.0381
T00665,13,4,0,0.0,52.3,171.24,13.17,0.0,False,False,0.0854
T00666,16,4,0,0.0,56.1,154.13,9.63,0.188,False,False,0.1105
T00667,12,4,0,0.0,52.0,165.88,13.82,0.167,False,False,0.0962
T00668,15,5,0,0.0,50.7,198.5,13.23,0.133,False,False,0.0537
T00669,13,3,0,0.0,56.3,134.1,10.32,0.154,False,False,0.1397
T00670,13,3,0,0.0,56.2,159.0,12.23,0.154,False,False,0.1251
T00671,13,4,0,0.0,49.2,139.64,10.74,0.077,False,False,0.115
T00672,17,4,0,0.0,51.7,158.04,9.3,0.059,False,False,0.0671
T00673,14,3,0,0.0,53.6,135.0,9.64,0.143,False,False,0.1318
T00674,16,4,4,0.25,60.1,155.25,9.7,0.188,True,True,-0.1808
T00675,13,3,0,0.0,58.6,123.28,9.48,0.077,False,False,0.1223
T00676,13,4,0,0.0,53.8,102.83,7.91,0.154,False,False,0.1049
T00677,16,3,0,0.0,45.9,185.75,11.61,0.125,False,False,0.0535
T00678,18,4,1,0.056,51.3,156.86,8.71,0.167,True,True,-0.0829
T00679,13,4,0,0.0,47.1,141.98,10.92,0.154,False,False,0.117
T00680,17,3,0,0.0,53.8,214.06,12.59,0.176,False,False,0.0422
T00681,13,5,3,0.231,49.0,167.2,12.86,0.154,True,True,-0.166
T00682,11,2,0,0.0,61.5,103.95,9.45,0.182,False,False,0.0464
T00683,12,4,0,0.0,55.5,134.04,11.17,0.167,False,False,0.1244
T00684,14,3,0,0.0,62.9,123.16,8.8,0.143,False,False,0.1149
T00685,14,4,0,0.0,53.7,144.39,10.31,0.214,False,False,0.1314
T00686,15,4,0,0.0,42.1,113.17,7.54,0.133,False,False,0.0377
T00687,15,4,0,0.0,55.3,162.07,10.8,0.2,False,False,0.1271
T00688,12,4,0,0.0,59.4,124.18,10.35,0.0,False,False,0.0908
T00689,10,3,0,0.0,46.8,107.93,10.79,0.2,False,False,0.0618
T00690,13,3,0,0.0,57.2,135.59,10.43,0.154,False,False,0.1376
T00691,17,5,0,0.0,55.1,158.19,9.31,0.176,False,False,0.0411
T00692,13,4,0,0.0,54.5,158.18,12.17,0.077,False,False,0.1227
T00693,13,4,0,0.0,49.8,149.13,11.47,0.231,False,False,0.1134
T00694,14,3,0,0.0,54.4,158.04,11.29,0.214,False,False,0.1216
T00695,11,4,2,0.182,59.4,178.91,16.26,0.182,True,True,-0.1534
T00696,18,4,0,0.0,52.2,246.44,13.69,0.278,False,True,-0.0396
T00697,13,4,0,0.0,48.2,171.89,13.22,0.154,False,False,0.099
T00698,14,3,0,0.0,65.4,126.42,9.03,0.214,False,False,0.0896
T00699,14,4,0,0.0,55.6,133.82,9.56,0.071,False,False,0.1261
T00700,16,3,0,0.0,56.1,133.28,8.33,0.188,False,False,0.1058
T00701,12,4,0,0.0,57.3,128.43,10.7,0.167,False,False,0.1265
T00702,12,4,0,0.0,55.9,110.01,9.17,0.167,False,False,0.1114
T00703,16,5,0,0.0,52.2,165.75,10.36,0.188,False,False,0.0693
T00704,16,4,0,0.0,64.1,165.36,10.33,0.125,False,False,0.0881
T00705,16,3,0,0.0,56.5,141.88,8.87,0.25,False,False,0.1007
T00706,13,2,0,0.0,67.3,81.44,6.26,0.154,False,True,-0.0311
T00707,16,2,0,0.0,56.5,139.92,8.74,0.188,False,False,0.0571
T00708,10,3,0,0.0,51.6,92.9,9.29,0.0,False,False,0.0455
T00709,14,5,0,0.0,66.7,143.14,10.22,0.214,False,False,0.0314
